node	British Empire	French Empire	Non-colonial	Portugese Empire	Russian Empire	Spainish Empire
n22252225	0.0	0.0	1.0	0.0	0.0	0.0
MW055060	0.0	0.0	1.0	0.0	0.0	0.0
MW055075	0.0	0.0	1.0	0.0	0.0	0.0
MW055073	0.0	0.0	1.0	0.0	0.0	0.0
MW055068	0.0	0.0	1.0	0.0	0.0	0.0
MW055061	0.0	0.0	1.0	0.0	0.0	0.0
MW055063	0.0	0.0	1.0	0.0	0.0	0.0
MW055066	0.0	0.0	1.0	0.0	0.0	0.0
MW055072	0.0	0.0	1.0	0.0	0.0	0.0
MW055062	0.0	0.0	1.0	0.0	0.0	0.0
MW055065	0.0	0.0	1.0	0.0	0.0	0.0
MW055067	0.0	0.0	1.0	0.0	0.0	0.0
MW055064	0.0	0.0	1.0	0.0	0.0	0.0
MW055076	0.0	0.0	1.0	0.0	0.0	0.0
MW055077	0.0	0.0	1.0	0.0	0.0	0.0
